MOD,DATE_EFF,TYPECOM_AV,COM_AV,TNCC_AV,NCC_AV,NCCENR_AV,LIBELLE_AV,TYPECOM_AP,COM_AP,TNCC_AP,NCC_AP,NCCENR_AP,LIBELLE_AP,indic_oe,indic_oe₂
32,2023-01-01,COM,01039,0,BEON,Béon,Béon,COMD,01039,0,BEON,Béon,Béon,#N/D,#N/D
32,2023-01-01,COM,01039,0,BEON,Béon,Béon,COM,01138,0,CULOZ BEON,Culoz-Béon,Culoz-Béon,#N/D,#N/D
35,2023-01-01,COMD,01095,0,CHAVANNES SUR SURAN,Chavannes-sur-Suran,Chavannes-sur-Suran,COM,01095,0,NIVIGNE ET SURAN,Nivigne et Suran,Nivigne et Suran,#N/D,#N/D
32,2023-01-01,COM,01138,0,CULOZ,Culoz,Culoz,COMD,01138,0,CULOZ,Culoz,Culoz,#N/D,#N/D
32,2023-01-01,COM,01138,0,CULOZ,Culoz,Culoz,COM,01138,0,CULOZ BEON,Culoz-Béon,Culoz-Béon,#N/D,#N/D
35,2023-01-01,COMD,01172,0,GERMAGNAT,Germagnat,Germagnat,COM,01095,0,NIVIGNE ET SURAN,Nivigne et Suran,Nivigne et Suran,#N/D,#N/D
32,2023-01-01,COM,02077,0,BERZY LE SEC,Berzy-le-Sec,Berzy-le-Sec,COMD,02077,0,BERZY LE SEC,Berzy-le-Sec,Berzy-le-Sec,#N/D,#N/D
32,2023-01-01,COM,02077,0,BERZY LE SEC,Berzy-le-Sec,Berzy-le-Sec,COM,02564,0,BERNOY LE CHATEAU,Bernoy-le-Château,Bernoy-le-Château,#N/D,#N/D
32,2023-01-01,COM,02564,0,NOYANT ET ACONIN,Noyant-et-Aconin,Noyant-et-Aconin,COM,02564,0,BERNOY LE CHATEAU,Bernoy-le-Château,Bernoy-le-Château,#N/D,#N/D
32,2023-01-01,COM,02564,0,NOYANT ET ACONIN,Noyant-et-Aconin,Noyant-et-Aconin,COMD,02564,0,NOYANT ET ACONIN,Noyant-et-Aconin,Noyant-et-Aconin,#N/D,#N/D
10,2023-01-01,COM,03223,0,SAINT CHRISTOPHE,Saint-Christophe,Saint-Christophe,COM,03223,0,SAINT CHRISTOPHE EN BOURBONNAIS,Saint-Christophe-en-Bourbonnais,Saint-Christophe-en-Bourbonnais,#N/D,#N/D
32,2023-01-01,COM,09056,0,BEZAC,Bézac,Bézac,COM,09056,0,BEZAC,Bézac,Bézac,#N/D,#N/D
32,2023-01-01,COM,09056,0,BEZAC,Bézac,Bézac,COMD,09056,0,BEZAC,Bézac,Bézac,#N/D,#N/D
32,2023-01-01,COM,09255,0,SAINT AMANS,Saint-Amans,Saint-Amans,COM,09056,0,BEZAC,Bézac,Bézac,#N/D,#N/D
32,2023-01-01,COM,09255,0,SAINT AMANS,Saint-Amans,Saint-Amans,COMD,09255,0,SAINT AMANS,Saint-Amans,Saint-Amans,#N/D,#N/D
32,2023-01-01,COM,16140,0,FONTCLAIREAU,Fontclaireau,Fontclaireau,COMD,16140,0,FONTCLAIREAU,Fontclaireau,Fontclaireau,#N/D,#N/D
32,2023-01-01,COM,16140,0,FONTCLAIREAU,Fontclaireau,Fontclaireau,COM,16206,0,MANSLE LES FONTAINES,Mansle-les-Fontaines,Mansle-les-Fontaines,#N/D,#N/D
35,2023-01-01,COMD,16156,0,GOURVILLE,Gourville,Gourville,COM,16286,0,ROUILLAC,Rouillac,Rouillac,#N/D,#N/D
32,2023-01-01,COM,16206,0,MANSLE,Mansle,Mansle,COM,16206,0,MANSLE LES FONTAINES,Mansle-les-Fontaines,Mansle-les-Fontaines,#N/D,#N/D
32,2023-01-01,COM,16206,0,MANSLE,Mansle,Mansle,COMD,16206,0,MANSLE,Mansle,Mansle,#N/D,#N/D
35,2023-01-01,COMD,16371,0,SONNEVILLE,Sonneville,Sonneville,COM,16286,0,ROUILLAC,Rouillac,Rouillac,#N/D,#N/D
10,2023-01-01,COM,17132,0,CRAMCHABAN,Cramchaban,Cramchaban,COM,17132,0,CRAM CHABAN,Cram-Chaban,Cram-Chaban,#N/D,#N/D
50,2023-01-01,COM,27058,4,TROIS LACS,Trois Lacs,Les Trois Lacs,COM,27676,4,TROIS LACS,Trois Lacs,Les Trois Lacs,#N/D,#N/D
35,2023-01-01,COMD,27090,2,BOSC ROGER EN ROUMOIS,Bosc-Roger-en-Roumois,Le Bosc-Roger-en-Roumois,COM,27090,0,BOSROUMOIS,Bosroumois,Bosroumois,#N/D,#N/D
35,2023-01-01,COMD,27093,0,BOSNORMAND,Bosnormand,Bosnormand,COM,27090,0,BOSROUMOIS,Bosroumois,Bosroumois,#N/D,#N/D
10,2023-01-01,COM,28012,0,COMMUNE NOUVELLE D ARROU,Commune nouvelle d'Arrou,Commune nouvelle d'Arrou,COM,28012,0,VALD YERRE,Vald'Yerre,Vald'Yerre,#N/D,#N/D
10,2023-01-01,COM,32289,0,MONTPEZAT,Montpézat,Montpézat,COM,32289,0,MONTPEZAT,Montpezat,Montpezat,#N/D,#N/D
