COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
P20_POP;Population en 2020 (princ);Population;;;NUM;7
P14_POP;Population en 2014 (princ);Population;;;NUM;7
P09_POP;Population en 2009 (princ);Population;;;NUM;7
D99_POP;Population en 1999 (dnbt);Population;;;NUM;7
D90_POP;Population en 1990 (dnbt);Population sans les doubles comptes;;;NUM;7
D82_POP;Population en 1982 (dnbt);Population sans les doubles comptes;;;NUM;7
D75_POP;Population en 1975 (dnbt);Population sans les doubles comptes;;;NUM;7
D68_POP;Population en 1968 (dnbt);Population sans les doubles comptes;;;NUM;7
SUPERF;Superficie (en km²);Superficie (en km²);;;NUM;16
NAIS1420;Naissances entre 2014 et 2020;Nombre de naissances entre 01/01/2014 et 01/01/2020;;;NUM;6
NAIS0914;Naissances entre 2009 et 2014;Nombre de naissances entre 01/01/2009 et 01/01/2014;;;NUM;6
NAIS9909;Naissances entre 1999 et 2009;Nombre de naissances entre 01/01/1999 et 01/01/2009;;;NUM;6
NAIS9099;Naissances entre 1990 et 1999;Nombre de naissances entre RP1990 et RP1999;;;NUM;6
NAIS8290;Naissances entre 1982 et 1990;Nombre de naissances entre RP1982 et RP1990;;;NUM;6
NAIS7582;Naissances entre 1975 et 1982;Nombre de naissances entre RP1975 et RP1982;;;NUM;6
NAIS6875;Naissances entre 1968 et 1975;Nombre de naissances entre RP1968 et RP1975;;;NUM;6
DECE1420;Décès entre 2014 et 2020;Nombre de décès entre 01/01/2014 et 01/01/2020;;;NUM;5
DECE0914;Décès entre 2009 et 2014;Nombre de décès entre 01/01/2009 et 01/01/2014;;;NUM;5
DECE9909;Décès entre 1999 et 2009;Nombre de décès entre 01/01/1999 et 01/01/2009;;;NUM;6
DECE9099;Décès entre 1990 et 1999;Nombre de décès entre RP1990 et RP1999;;;NUM;6
DECE8290;Décès entre 1982 et 1990;Nombre de décès entre RP1982 et RP1990;;;NUM;6
DECE7582;Décès entre 1975 et 1982;Nombre de décès entre RP1975 et RP1982;;;NUM;6
DECE6875;Décès entre 1968 et 1975;Nombre de décès entre RP1968 et RP1975;;;NUM;6
P20_LOG;Logements en 2020 (princ);Nombre de logements;;;NUM;16
P14_LOG;Logements en 2014 (princ);Nombre de logements;;;NUM;16
P09_LOG;Logements en 2009 (princ);Nombre de logements;;;NUM;16
D99_LOG;Logements en 1999 (dnbt);Nombre de logements;;;NUM;7
D90_LOG;Logements en 1990 (dnbt);Nombre de logements;;;NUM;7
D82_LOG;Logements en 1982 (dnbt);Nombre de logements;;;NUM;7
D75_LOG;Logements en 1975 (dnbt);Nombre de logements;;;NUM;7
D68_LOG;Logements en 1968 (dnbt);Nombre de logements;;;NUM;7
P20_RP;Résidences principales (Ménages) en 2020 (princ);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;16
P14_RP;Résidences principales (Ménages) en 2014 (princ);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;16
P09_RP;Résidences principales (Ménages) en 2009 (princ);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;16
D99_RP;Résidences principales (Ménages) en 1999 (dnbt);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;7
D90_RP;Résidences principales (Ménages) en 1990 (dnbt);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;7
D82_RP;Résidences principales (Ménages) en 1982 (dnbt);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;7
D75_RP;Résidences principales (Ménages) en 1975 (dnbt);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;7
D68_RP;Résidences principales (Ménages) en 1968 (dnbt);Nombre de résidences principales ou de ménages (le nombre de ménages est égal au nombre de résidences principales);;;NUM;7
P20_RSECOCC;Rés secondaires et logts occasionnels en 2020 (princ);Nombre de résidences secondaires et logements occasionnels;;;NUM;17
P14_RSECOCC;Rés secondaires et logts occasionnels en 2014 (princ);Nombre de résidences secondaires et logements occasionnels;;;NUM;17
P09_RSECOCC;Rés secondaires et logts occasionnels en 2009 (princ);Nombre de résidences secondaires et logements occasionnels;;;NUM;17
D99_RSECOCC;Rés secondaires et logts occasionnels en 1999 (dnbt);Nombre de résidences secondaires et logements occasionnels;;;NUM;5
D90_RSECOCC;Rés secondaires et logts occasionnels en 1990 (dnbt);Nombre de résidences secondaires et logements occasionnels;;;NUM;5
D82_RSECOCC;Rés secondaires et logts occasionnels en 1982 (dnbt);Nombre de résidences secondaires et logements occasionnels;;;NUM;5
D75_RSECOCC;Rés secondaires et logts occasionnels en 1975 (dnbt);Nombre de résidences secondaires et logements occasionnels;;;NUM;5
D68_RSECOCC;Rés secondaires et logts occasionnels en 1968 (dnbt);Nombre de résidences secondaires et logements occasionnels;;;NUM;5
P20_LOGVAC;Logements vacants en 2020 (princ);Nombre de logements vacants;;;NUM;17
P14_LOGVAC;Logements vacants en 2014 (princ);Nombre de logements vacants;;;NUM;17
P09_LOGVAC;Logements vacants en 2009 (princ);Nombre de logements vacants;;;NUM;17
D99_LOGVAC;Logements vacants en 1999 (dnbt);Nombre de logements vacants;;;NUM;6
D90_LOGVAC;Logements vacants en 1990 (dnbt);Nombre de logements vacants;;;NUM;6
D82_LOGVAC;Logements vacants en 1982 (dnbt);Nombre de logements vacants;;;NUM;6
D75_LOGVAC;Logements vacants en 1975 (dnbt);Nombre de logements vacants;;;NUM;5
D68_LOGVAC;Logements vacants en 1968 (dnbt);Nombre de logements vacants;;;NUM;5
P20_PMEN;Pop Ménages (Pop Rés princ) en 2020 (princ);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personne des ménages est égal au nombre de personnes des résidences principales);;;NUM;16
P14_PMEN;Pop Ménages (Pop Rés princ) en 2014 (princ);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personne des ménages est égal au nombre de personnes des résidences principales);;;NUM;16
P09_PMEN;Pop Ménages (Pop Rés princ) en 2009 (princ);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personne des ménages est égal au nombre de personnes des résidences principales);;;NUM;16
D99_PMEN;Pop Ménages (Pop Rés princ) en 1999 (dnbt);Nombre de personnes des ménages  ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales);;;NUM;7
D90_NPER_RP;Pop Ménages (Pop Rés princ) en 1990 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales);;;NUM;7
D82_NPER_RP;Pop Ménages (Pop Rés princ) en 1982 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales);;;NUM;7
D75_NPER_RP;Pop Ménages (Pop Rés princ) en 1975 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales);;;NUM;7
D68_NPER_RP;Pop Ménages (Pop Rés princ) en 1968 (dnbt);Nombre de personnes des ménages ou nombre de personnes des résidences principales (le nombre de personnes des ménages est égal au nombre de personnes des résidences principales);;;NUM;7
CODGEO;Code commune;Code commune;01001;L'Abergement-Clémenciat;CHAR;5
CODGEO;Code commune;Code commune;01002;L'Abergement-de-Varey;CHAR;5
CODGEO;Code commune;Code commune;01004;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code commune;Code commune;01005;Ambérieux-en-Dombes;CHAR;5
CODGEO;Code commune;Code commune;01006;Ambléon;CHAR;5
CODGEO;Code commune;Code commune;01007;Ambronay;CHAR;5
CODGEO;Code commune;Code commune;01008;Ambutrix;CHAR;5
CODGEO;Code commune;Code commune;01009;Andert-et-Condon;CHAR;5
CODGEO;Code commune;Code commune;01010;Anglefort;CHAR;5
CODGEO;Code commune;Code commune;01011;Apremont;CHAR;5
CODGEO;Code commune;Code commune;01012;Aranc;CHAR;5
CODGEO;Code commune;Code commune;01013;Arandas;CHAR;5
CODGEO;Code commune;Code commune;01014;Arbent;CHAR;5
CODGEO;Code commune;Code commune;01015;Arboys en Bugey;CHAR;5
CODGEO;Code commune;Code commune;01016;Arbigny;CHAR;5
CODGEO;Code commune;Code commune;01017;Argis;CHAR;5
CODGEO;Code commune;Code commune;01019;Armix;CHAR;5
CODGEO;Code commune;Code commune;01021;Ars-sur-Formans;CHAR;5
CODGEO;Code commune;Code commune;01022;Artemare;CHAR;5
CODGEO;Code commune;Code commune;01023;Asnières-sur-Saône;CHAR;5
CODGEO;Code commune;Code commune;01024;Attignat;CHAR;5
CODGEO;Code commune;Code commune;01025;Bâgé-Dommartin;CHAR;5
CODGEO;Code commune;Code commune;01026;Bâgé-le-Châtel;CHAR;5
CODGEO;Code commune;Code commune;01027;Balan;CHAR;5
CODGEO;Code commune;Code commune;01028;Baneins;CHAR;5
CODGEO;Code commune;Code commune;01029;Beaupont;CHAR;5
CODGEO;Code commune;Code commune;01030;Beauregard;CHAR;5
CODGEO;Code commune;Code commune;01031;Bellignat;CHAR;5
CODGEO;Code commune;Code commune;01032;Béligneux;CHAR;5
CODGEO;Code commune;Code commune;01033;Valserhône;CHAR;5
CODGEO;Code commune;Code commune;01034;Belley;CHAR;5
CODGEO;Code commune;Code commune;01035;Belleydoux;CHAR;5
CODGEO;Code commune;Code commune;01036;Valromey-sur-Séran;CHAR;5
CODGEO;Code commune;Code commune;01037;Bénonces;CHAR;5
CODGEO;Code commune;Code commune;01038;Bény;CHAR;5
CODGEO;Code commune;Code commune;01040;Béréziat;CHAR;5
CODGEO;Code commune;Code commune;01041;Bettant;CHAR;5
CODGEO;Code commune;Code commune;01042;Bey;CHAR;5
CODGEO;Code commune;Code commune;01043;Beynost;CHAR;5
CODGEO;Code commune;Code commune;01044;Billiat;CHAR;5
CODGEO;Code commune;Code commune;01045;Birieux;CHAR;5
CODGEO;Code commune;Code commune;01046;Biziat;CHAR;5
CODGEO;Code commune;Code commune;01047;Blyes;CHAR;5
CODGEO;Code commune;Code commune;01049;La Boisse;CHAR;5
CODGEO;Code commune;Code commune;01050;Boissey;CHAR;5
CODGEO;Code commune;Code commune;01051;Bolozon;CHAR;5
CODGEO;Code commune;Code commune;01052;Bouligneux;CHAR;5
CODGEO;Code commune;Code commune;01053;Bourg-en-Bresse;CHAR;5
CODGEO;Code commune;Code commune;01054;Bourg-Saint-Christophe;CHAR;5
CODGEO;Code commune;Code commune;01056;Boyeux-Saint-Jérôme;CHAR;5
CODGEO;Code commune;Code commune;01057;Boz;CHAR;5
CODGEO;Code commune;Code commune;01058;Brégnier-Cordon;CHAR;5
CODGEO;Code commune;Code commune;01060;Brénod;CHAR;5
CODGEO;Code commune;Code commune;01061;Brens;CHAR;5
CODGEO;Code commune;Code commune;01062;Bressolles;CHAR;5
CODGEO;Code commune;Code commune;01063;Brion;CHAR;5
CODGEO;Code commune;Code commune;01064;Briord;CHAR;5
CODGEO;Code commune;Code commune;01065;Buellas;CHAR;5
CODGEO;Code commune;Code commune;01066;La Burbanche;CHAR;5
CODGEO;Code commune;Code commune;01067;Ceignes;CHAR;5
CODGEO;Code commune;Code commune;01068;Cerdon;CHAR;5
CODGEO;Code commune;Code commune;01069;Certines;CHAR;5
CODGEO;Code commune;Code commune;01071;Cessy;CHAR;5
CODGEO;Code commune;Code commune;01072;Ceyzériat;CHAR;5
CODGEO;Code commune;Code commune;01073;Ceyzérieu;CHAR;5
CODGEO;Code commune;Code commune;01074;Chalamont;CHAR;5
CODGEO;Code commune;Code commune;01075;Chaleins;CHAR;5
CODGEO;Code commune;Code commune;01076;Chaley;CHAR;5
CODGEO;Code commune;Code commune;01077;Challes-la-Montagne;CHAR;5
CODGEO;Code commune;Code commune;01078;Challex;CHAR;5
CODGEO;Code commune;Code commune;01079;Champagne-en-Valromey;CHAR;5
CODGEO;Code commune;Code commune;01080;Champdor-Corcelles;CHAR;5
CODGEO;Code commune;Code commune;01081;Champfromier;CHAR;5
CODGEO;Code commune;Code commune;01082;Chanay;CHAR;5
CODGEO;Code commune;Code commune;01083;Chaneins;CHAR;5
CODGEO;Code commune;Code commune;01084;Chanoz-Châtenay;CHAR;5
CODGEO;Code commune;Code commune;01085;La Chapelle-du-Châtelard;CHAR;5
CODGEO;Code commune;Code commune;01087;Charix;CHAR;5
CODGEO;Code commune;Code commune;01088;Charnoz-sur-Ain;CHAR;5
CODGEO;Code commune;Code commune;01089;Château-Gaillard;CHAR;5
CODGEO;Code commune;Code commune;01090;Châtenay;CHAR;5
CODGEO;Code commune;Code commune;01092;Châtillon-la-Palud;CHAR;5
CODGEO;Code commune;Code commune;01093;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code commune;Code commune;01094;Chavannes-sur-Reyssouze;CHAR;5
CODGEO;Code commune;Code commune;01095;Nivigne et Suran;CHAR;5
CODGEO;Code commune;Code commune;01096;Chaveyriat;CHAR;5
CODGEO;Code commune;Code commune;01098;Chazey-Bons;CHAR;5
CODGEO;Code commune;Code commune;01099;Chazey-sur-Ain;CHAR;5
CODGEO;Code commune;Code commune;01100;Cheignieu-la-Balme;CHAR;5
CODGEO;Code commune;Code commune;01101;Chevillard;CHAR;5
CODGEO;Code commune;Code commune;01102;Chevroux;CHAR;5
CODGEO;Code commune;Code commune;01103;Chevry;CHAR;5
CODGEO;Code commune;Code commune;01104;Chézery-Forens;CHAR;5
CODGEO;Code commune;Code commune;01105;Civrieux;CHAR;5
