TYPMAR;REGDEP_MAR;SEXE;ETAMAT;NBMARIES
HF;1175;F;1;6803
HH-FF;1175;F;1;277
HF;1177;F;1;4112
HH-FF;1177;F;1;108
HF;1178;F;1;3954
HH-FF;1178;F;1;103
HF;1191;F;1;3553
HH-FF;1191;F;1;80
HF;1192;F;1;4820
HH-FF;1192;F;1;127
HF;1193;F;1;4400
HH-FF;1193;F;1;78
HF;1194;F;1;3986
HH-FF;1194;F;1;103
HF;1195;F;1;3830
HH-FF;1195;F;1;55
HF;2418;F;1;684
HH-FF;2418;F;1;18
HF;2428;F;1;1078
HH-FF;2428;F;1;26
HF;2436;F;1;469
HH-FF;2436;F;1;14
HF;2437;F;1;1565
HH-FF;2437;F;1;73
HF;2441;F;1;806
HH-FF;2441;F;1;26
HF;2445;F;1;1734
HH-FF;2445;F;1;60
HF;2721;F;1;1276
HH-FF;2721;F;1;49
HF;2725;F;1;1351
HH-FF;2725;F;1;47
HF;2739;F;1;626
HH-FF;2739;F;1;23
HF;2758;F;1;448
HH-FF;2758;F;1;11
HF;2770;F;1;551
HH-FF;2770;F;1;24
HF;2771;F;1;1323
HH-FF;2771;F;1;30
HF;2789;F;1;834
HH-FF;2789;F;1;29
HF;2790;F;1;400
HH-FF;2790;F;1;7
HF;2814;F;1;1867
HH-FF;2814;F;1;80
HF;2827;F;1;1619
HH-FF;2827;F;1;68
HF;2850;F;1;1162
HH-FF;2850;F;1;31
HF;2861;F;1;655
HH-FF;2861;F;1;19
HF;2876;F;1;3125
HH-FF;2876;F;1;131
HF;3202;F;1;1177
HH-FF;3202;F;1;47
HF;3259;F;1;6969
HH-FF;3259;F;1;281
HF;3260;F;1;1935
HH-FF;3260;F;1;55
HF;3262;F;1;3606
HH-FF;3262;F;1;196
HF;3280;F;1;1196
HH-FF;3280;F;1;47
HF;4408;F;1;567
HH-FF;4408;F;1;28
HF;4410;F;1;711
HH-FF;4410;F;1;28
HF;4451;F;1;1335
HH-FF;4451;F;1;35
HF;4452;F;1;376
HH-FF;4452;F;1;7
HF;4454;F;1;1768
HH-FF;4454;F;1;69
HF;4455;F;1;406
HH-FF;4455;F;1;7
HF;4457;F;1;2785
HH-FF;4457;F;1;78
HF;4467;F;1;3232
HH-FF;4467;F;1;78
HF;4468;F;1;2134
HH-FF;4468;F;1;49
HF;4488;F;1;813
HH-FF;4488;F;1;22
HF;5244;F;1;3760
HH-FF;5244;F;1;170
HF;5249;F;1;2204
HH-FF;5249;F;1;79
HF;5253;F;1;724
HH-FF;5253;F;1;22
HF;5272;F;1;1304
HH-FF;5272;F;1;67
HF;5285;F;1;1876
HH-FF;5285;F;1;101
HF;5322;F;1;1397
HH-FF;5322;F;1;78
HF;5329;F;1;2138
HH-FF;5329;F;1;96
HF;5335;F;1;2563
HH-FF;5335;F;1;103
HF;5356;F;1;1954
HH-FF;5356;F;1;75
HF;7516;F;1;826
HH-FF;7516;F;1;35
HF;7517;F;1;1620
HH-FF;7517;F;1;99
HF;7519;F;1;520
HH-FF;7519;F;1;23
HF;7523;F;1;214
HH-FF;7523;F;1;11
HF;7524;F;1;1000
HH-FF;7524;F;1;39
HF;7533;F;1;4276
HH-FF;7533;F;1;211
HF;7540;F;1;1019
HH-FF;7540;F;1;58
HF;7547;F;1;744
HH-FF;7547;F;1;32
HF;7564;F;1;1537
HH-FF;7564;F;1;76
HF;7579;F;1;754
HH-FF;7579;F;1;25
HF;7586;F;1;901
HH-FF;7586;F;1;49
HF;7587;F;1;781
HH-FF;7587;F;1;40
HF;7609;F;1;347
HH-FF;7609;F;1;21
HF;7611;F;1;925
HH-FF;7611;F;1;48
HF;7612;F;1;681
HH-FF;7612;F;1;31
HF;7630;F;1;2080
HH-FF;7630;F;1;96
HF;7631;F;1;3434
HH-FF;7631;F;1;197
HF;7632;F;1;476
