TYPMAR2;REGDEP_DOMI;NATEPOUX;NBMAR
FF;1175;ETR_ETR;7
HF;1175;ETR_ETR;657
HH;1175;ETR_ETR;15
FF;1177;ETR_ETR;2
HF;1177;ETR_ETR;356
HH;1177;ETR_ETR;0
FF;1178;ETR_ETR;1
HF;1178;ETR_ETR;439
HH;1178;ETR_ETR;1
FF;1191;ETR_ETR;0
HF;1191;ETR_ETR;511
HH;1191;ETR_ETR;1
FF;1192;ETR_ETR;2
HF;1192;ETR_ETR;505
HH;1192;ETR_ETR;2
FF;1193;ETR_ETR;3
HF;1193;ETR_ETR;927
HH;1193;ETR_ETR;3
FF;1194;ETR_ETR;1
HF;1194;ETR_ETR;630
HH;1194;ETR_ETR;0
FF;1195;ETR_ETR;0
HF;1195;ETR_ETR;498
HH;1195;ETR_ETR;0
FF;2418;ETR_ETR;0
HF;2418;ETR_ETR;18
HH;2418;ETR_ETR;0
FF;2428;ETR_ETR;0
HF;2428;ETR_ETR;35
HH;2428;ETR_ETR;0
FF;2436;ETR_ETR;0
HF;2436;ETR_ETR;14
HH;2436;ETR_ETR;0
FF;2437;ETR_ETR;0
HF;2437;ETR_ETR;65
HH;2437;ETR_ETR;0
FF;2441;ETR_ETR;0
HF;2441;ETR_ETR;23
HH;2441;ETR_ETR;0
FF;2445;ETR_ETR;0
HF;2445;ETR_ETR;100
HH;2445;ETR_ETR;0
FF;2721;ETR_ETR;0
HF;2721;ETR_ETR;47
HH;2721;ETR_ETR;0
FF;2725;ETR_ETR;0
HF;2725;ETR_ETR;41
HH;2725;ETR_ETR;0
FF;2739;ETR_ETR;0
HF;2739;ETR_ETR;12
HH;2739;ETR_ETR;0
FF;2758;ETR_ETR;0
HF;2758;ETR_ETR;8
HH;2758;ETR_ETR;1
FF;2770;ETR_ETR;0
HF;2770;ETR_ETR;8
HH;2770;ETR_ETR;0
FF;2771;ETR_ETR;0
HF;2771;ETR_ETR;27
HH;2771;ETR_ETR;0
FF;2789;ETR_ETR;0
HF;2789;ETR_ETR;30
HH;2789;ETR_ETR;1
FF;2790;ETR_ETR;0
HF;2790;ETR_ETR;13
HH;2790;ETR_ETR;0
FF;2814;ETR_ETR;0
HF;2814;ETR_ETR;30
HH;2814;ETR_ETR;2
FF;2827;ETR_ETR;1
HF;2827;ETR_ETR;51
HH;2827;ETR_ETR;0
FF;2850;ETR_ETR;0
HF;2850;ETR_ETR;13
HH;2850;ETR_ETR;0
FF;2861;ETR_ETR;0
HF;2861;ETR_ETR;14
HH;2861;ETR_ETR;0
FF;2876;ETR_ETR;0
HF;2876;ETR_ETR;112
HH;2876;ETR_ETR;1
FF;3202;ETR_ETR;0
HF;3202;ETR_ETR;34
HH;3202;ETR_ETR;0
FF;3259;ETR_ETR;1
HF;3259;ETR_ETR;259
HH;3259;ETR_ETR;0
FF;3260;ETR_ETR;0
HF;3260;ETR_ETR;72
HH;3260;ETR_ETR;0
FF;3262;ETR_ETR;0
HF;3262;ETR_ETR;29
HH;3262;ETR_ETR;0
FF;3280;ETR_ETR;0
HF;3280;ETR_ETR;24
HH;3280;ETR_ETR;0
FF;4408;ETR_ETR;0
HF;4408;ETR_ETR;16
HH;4408;ETR_ETR;0
FF;4410;ETR_ETR;0
HF;4410;ETR_ETR;23
HH;4410;ETR_ETR;0
FF;4451;ETR_ETR;0
HF;4451;ETR_ETR;54
HH;4451;ETR_ETR;0
FF;4452;ETR_ETR;0
HF;4452;ETR_ETR;6
HH;4452;ETR_ETR;0
FF;4454;ETR_ETR;1
HF;4454;ETR_ETR;74
HH;4454;ETR_ETR;0
FF;4455;ETR_ETR;0
HF;4455;ETR_ETR;4
HH;4455;ETR_ETR;0
FF;4457;ETR_ETR;0
HF;4457;ETR_ETR;106
HH;4457;ETR_ETR;1
FF;4467;ETR_ETR;0
HF;4467;ETR_ETR;185
HH;4467;ETR_ETR;0
FF;4468;ETR_ETR;1
HF;4468;ETR_ETR;102
HH;4468;ETR_ETR;0
FF;4488;ETR_ETR;0
HF;4488;ETR_ETR;13
HH;4488;ETR_ETR;0
FF;5244;ETR_ETR;1
HF;5244;ETR_ETR;117
HH;5244;ETR_ETR;0
FF;5249;ETR_ETR;0
HF;5249;ETR_ETR;47
HH;5249;ETR_ETR;0
FF;5253;ETR_ETR;0
HF;5253;ETR_ETR;14
HH;5253;ETR_ETR;0
FF;5272;ETR_ETR;0
HF;5272;ETR_ETR;48
HH;5272;ETR_ETR;1
FF;5285;ETR_ETR;0
HF;5285;ETR_ETR;17
HH;5285;ETR_ETR;0
FF;5322;ETR_ETR;0
HF;5322;ETR_ETR;24
HH;5322;ETR_ETR;0
FF;5329;ETR_ETR;0
HF;5329;ETR_ETR;33
HH;5329;ETR_ETR;1
FF;5335;ETR_ETR;0
HF;5335;ETR_ETR;107
HH;5335;ETR_ETR;1
FF;5356;ETR_ETR;0
HF;5356;ETR_ETR;30
HH;5356;ETR_ETR;0
FF;7516;ETR_ETR;1
HF;7516;ETR_ETR;27
HH;7516;ETR_ETR;1
FF;7517;ETR_ETR;0
HF;7517;ETR_ETR;23
HH;7517;ETR_ETR;1
FF;7519;ETR_ETR;0
HF;7519;ETR_ETR;9
HH;7519;ETR_ETR;1
FF;7523;ETR_ETR;0
HF;7523;ETR_ETR;7
HH;7523;ETR_ETR;1
FF;7524;ETR_ETR;0
HF;7524;ETR_ETR;23
HH;7524;ETR_ETR;1
FF;7533;ETR_ETR;1
HF;7533;ETR_ETR;203
HH;7533;ETR_ETR;0
FF;7540;ETR_ETR;0
HF;7540;ETR_ETR;21
HH;7540;ETR_ETR;0
FF;7547;ETR_ETR;1
HF;7547;ETR_ETR;38
HH;7547;ETR_ETR;0
FF;7564;ETR_ETR;0
HF;7564;ETR_ETR;43
HH;7564;ETR_ETR;0
FF;7579;ETR_ETR;0
HF;7579;ETR_ETR;22
HH;7579;ETR_ETR;0
FF;7586;ETR_ETR;0
HF;7586;ETR_ETR;23
HH;7586;ETR_ETR;1
FF;7587;ETR_ETR;0
HF;7587;ETR_ETR;37
HH;7587;ETR_ETR;1
FF;7609;ETR_ETR;0
HF;7609;ETR_ETR;9
HH;7609;ETR_ETR;0
FF;7611;ETR_ETR;1
HF;7611;ETR_ETR;34
HH;7611;ETR_ETR;0
FF;7612;ETR_ETR;0
HF;7612;ETR_ETR;26
HH;7612;ETR_ETR;0
FF;7630;ETR_ETR;0
HF;7630;ETR_ETR;62
HH;7630;ETR_ETR;0
FF;7631;ETR_ETR;3
HF;7631;ETR_ETR;215
HH;7631;ETR_ETR;2
FF;7632;ETR_ETR;0
HF;7632;ETR_ETR;19
HH;7632;ETR_ETR;1
FF;7634;ETR_ETR;1
HF;7634;ETR_ETR;159
HH;7634;ETR_ETR;0
FF;7646;ETR_ETR;0
HF;7646;ETR_ETR;10
HH;7646;ETR_ETR;0
FF;7648;ETR_ETR;0
HF;7648;ETR_ETR;2
HH;7648;ETR_ETR;0
FF;7665;ETR_ETR;2
HF;7665;ETR_ETR;11
HH;7665;ETR_ETR;0
FF;7666;ETR_ETR;1
HF;7666;ETR_ETR;30
HH;7666;ETR_ETR;1
FF;7681;ETR_ETR;1
HF;7681;ETR_ETR;17
HH;7681;ETR_ETR;0
FF;7682;ETR_ETR;0
HF;7682;ETR_ETR;21
HH;7682;ETR_ETR;0
FF;8401;ETR_ETR;0
HF;8401;ETR_ETR;72
HH;8401;ETR_ETR;1
FF;8403;ETR_ETR;1
HF;8403;ETR_ETR;18
HH;8403;ETR_ETR;0
FF;8407;ETR_ETR;0
HF;8407;ETR_ETR;18
HH;8407;ETR_ETR;0
FF;8415;ETR_ETR;0
HF;8415;ETR_ETR;2
HH;8415;ETR_ETR;0
FF;8426;ETR_ETR;0
HF;8426;ETR_ETR;29
HH;8426;ETR_ETR;0
FF;8438;ETR_ETR;2
HF;8438;ETR_ETR;141
HH;8438;ETR_ETR;1
FF;8442;ETR_ETR;0
HF;8442;ETR_ETR;97
HH;8442;ETR_ETR;0
FF;8443;ETR_ETR;0
HF;8443;ETR_ETR;6
HH;8443;ETR_ETR;0
FF;8463;ETR_ETR;0
HF;8463;ETR_ETR;58
HH;8463;ETR_ETR;1
FF;8469;ETR_ETR;4
HF;8469;ETR_ETR;321
HH;8469;ETR_ETR;1
FF;8473;ETR_ETR;0
HF;8473;ETR_ETR;55
HH;8473;ETR_ETR;0
FF;8474;ETR_ETR;0
HF;8474;ETR_ETR;167
HH;8474;ETR_ETR;1
FF;9304;ETR_ETR;0
HF;9304;ETR_ETR;8
HH;9304;ETR_ETR;0
FF;9305;ETR_ETR;0
HF;9305;ETR_ETR;8
HH;9305;ETR_ETR;0
FF;9306;ETR_ETR;0
HF;9306;ETR_ETR;275
HH;9306;ETR_ETR;3
FF;9313;ETR_ETR;0
HF;9313;ETR_ETR;259
HH;9313;ETR_ETR;2
FF;9383;ETR_ETR;0
HF;9383;ETR_ETR;80
HH;9383;ETR_ETR;2
FF;9384;ETR_ETR;1
HF;9384;ETR_ETR;72
HH;9384;ETR_ETR;0
FF;942A;ETR_ETR;0
HF;942A;ETR_ETR;11
HH;942A;ETR_ETR;0
FF;942B;ETR_ETR;0
HF;942B;ETR_ETR;30
HH;942B;ETR_ETR;0
FF;971;ETR_ETR;1
HF;971;ETR_ETR;35
HH;971;ETR_ETR;0
FF;972;ETR_ETR;0
HF;972;ETR_ETR;15
HH;972;ETR_ETR;0
FF;973;ETR_ETR;1
HF;973;ETR_ETR;133
HH;973;ETR_ETR;1
FF;974;ETR_ETR;0
HF;974;ETR_ETR;4
HH;974;ETR_ETR;0
FF;976;ETR_ETR;0
HF;976;ETR_ETR;23
HH;976;ETR_ETR;0
FF;1175;FR_ETR;32
HF;1175;FR_ETR;2089
HH;1175;FR_ETR;127
FF;1177;FR_ETR;6
HF;1177;FR_ETR;820
HH;1177;FR_ETR;11
FF;1178;FR_ETR;5
HF;1178;FR_ETR;971
HH;1178;FR_ETR;4
FF;1191;FR_ETR;5
HF;1191;FR_ETR;939
HH;1191;FR_ETR;5
FF;1192;FR_ETR;11
HF;1192;FR_ETR;1386
HH;1192;FR_ETR;23
FF;1193;FR_ETR;13
HF;1193;FR_ETR;1548
HH;1193;FR_ETR;17
FF;1194;FR_ETR;7
HF;1194;FR_ETR;1240
HH;1194;FR_ETR;16
FF;1195;FR_ETR;0
HF;1195;FR_ETR;984
HH;1195;FR_ETR;6
FF;2418;FR_ETR;1
HF;2418;FR_ETR;88
HH;2418;FR_ETR;3
FF;2428;FR_ETR;0
HF;2428;FR_ETR;153
HH;2428;FR_ETR;0
FF;2436;FR_ETR;0
HF;2436;FR_ETR;42
HH;2436;FR_ETR;1
FF;2437;FR_ETR;2
HF;2437;FR_ETR;218
HH;2437;FR_ETR;3
FF;2441;FR_ETR;1
HF;2441;FR_ETR;108
HH;2441;FR_ETR;2
FF;2445;FR_ETR;4
HF;2445;FR_ETR;284
HH;2445;FR_ETR;5
FF;2721;FR_ETR;1
HF;2721;FR_ETR;170
HH;2721;FR_ETR;0
FF;2725;FR_ETR;1
HF;2725;FR_ETR;233
HH;2725;FR_ETR;2
FF;2739;FR_ETR;2
HF;2739;FR_ETR;66
HH;2739;FR_ETR;1
FF;2758;FR_ETR;0
HF;2758;FR_ETR;43
