TYPMAR2;REGDEP_MAR;MMAR;NBMAR
FF;1175;01;12
HF;1175;01;397
HH;1175;01;45
FF;1177;01;2
HF;1177;01;166
HH;1177;01;1
FF;1178;01;2
HF;1178;01;198
HH;1178;01;3
FF;1191;01;2
HF;1191;01;165
HH;1191;01;2
FF;1192;01;3
HF;1192;01;265
HH;1192;01;5
FF;1193;01;1
HF;1193;01;307
HH;1193;01;0
FF;1194;01;1
HF;1194;01;225
HH;1194;01;2
FF;1195;01;0
HF;1195;01;195
HH;1195;01;0
FF;2418;01;0
HF;2418;01;15
HH;2418;01;1
FF;2428;01;1
HF;2428;01;37
HH;2428;01;0
FF;2436;01;0
HF;2436;01;15
HH;2436;01;0
FF;2437;01;1
HF;2437;01;55
HH;2437;01;2
FF;2441;01;1
HF;2441;01;26
HH;2441;01;0
FF;2445;01;1
HF;2445;01;59
HH;2445;01;1
FF;2721;01;1
HF;2721;01;57
HH;2721;01;1
FF;2725;01;2
HF;2725;01;51
HH;2725;01;1
FF;2739;01;1
HF;2739;01;15
HH;2739;01;0
FF;2758;01;0
HF;2758;01;10
HH;2758;01;0
FF;2770;01;1
HF;2770;01;11
HH;2770;01;0
FF;2771;01;1
HF;2771;01;41
HH;2771;01;0
FF;2789;01;0
HF;2789;01;17
HH;2789;01;0
FF;2790;01;0
HF;2790;01;5
HH;2790;01;0
FF;2814;01;3
HF;2814;01;57
HH;2814;01;2
FF;2827;01;1
HF;2827;01;42
HH;2827;01;1
FF;2850;01;1
HF;2850;01;26
HH;2850;01;2
FF;2861;01;0
HF;2861;01;18
HH;2861;01;0
FF;2876;01;2
HF;2876;01;109
HH;2876;01;1
FF;3202;01;2
HF;3202;01;23
HH;3202;01;1
FF;3259;01;3
HF;3259;01;257
HH;3259;01;4
FF;3260;01;1
HF;3260;01;83
HH;3260;01;0
FF;3262;01;0
HF;3262;01;87
HH;3262;01;1
FF;3280;01;1
HF;3280;01;37
HH;3280;01;0
FF;4408;01;0
HF;4408;01;12
HH;4408;01;0
FF;4410;01;0
HF;4410;01;13
HH;4410;01;0
FF;4451;01;0
HF;4451;01;41
HH;4451;01;1
FF;4452;01;0
HF;4452;01;9
HH;4452;01;0
FF;4454;01;1
HF;4454;01;44
HH;4454;01;2
FF;4455;01;1
HF;4455;01;12
HH;4455;01;0
FF;4457;01;0
HF;4457;01;104
HH;4457;01;1
FF;4467;01;1
HF;4467;01;112
HH;4467;01;1
